gene,F517_21h,F517_29h,F517_33h,F517_37h,F517_41h,F517_45h,F517_49h,F517_53h,F517_57h
SCO2056,4.96450131877861,4.55799545312089,5.11547721741994,5.05407667275579,4.84409546887262,4.39231742277876,4.61143471208235,4.8552145608362,3.63097489847799
SCO2057,9.71224038177574,9.37117161390721,9.26157260281574,8.480678020773,8.60053242348971,8.54860787462691,8.55053303695098,8.55074678538324,8.55884584810035
SCO2058,8.46352437327118,8.15622355976324,7.13784503044839,7.69542164337447,7.6558288314408,7.60979435370109,7.52443288577914,7.22024395475787,7.2089117117683
SCO2059,9.91521546025945,9.69831881626232,9.49895998282394,9.28745587763022,9.33340385518435,9.23654576708697,9.38442402062113,9.26261689894595,9.30073387261824
SCO2060,8.5161377484531,8.31263089010666,8.04409048996853,8.38178326017838,8.43346952944506,8.42952298008641,8.43578599596857,8.52356195605701,8.28334563256831
SCO2061,10.2052502193575,9.8911086002388,9.87958324961278,9.33489398619053,9.45532722030456,9.50448798039475,9.55437567176726,9.57522407587951,9.48314397513762
SCO2062,8.81484945860453,9.29704362529765,9.07503339170882,8.12297175396686,8.42812749871929,8.21620693587268,8.13898280262163,8.28231623898851,8.23042079509238
SCO2063,3.90153736111431,3.67556504950206,2.92810708151821,3.25633975325979,3.70659194512269,4.14295795384204,3.51657552574091,2.78427130894456,3.53051471669878
SCO2064,11.6614812163961,11.85304958693,11.8385036206283,11.1816354214892,11.4950777426439,11.5206186805563,11.4768586903955,11.4096855741538,11.4159177818377
SCO2065,9.92958719055291,9.81289036374762,9.75488750216347,11.3018137104538,10.6217466486375,10.5700665132419,10.5216004397237,10.6466587063453,10.7287708495427
SCO2066,8.49807353423022,8.78971476292187,7.90421646131019,9.4814630999144,9.55010544505666,9.46295662896379,9.40277522504498,9.25791160201621,9.19147053172358
SCO2067,10.8600523451473,11.5691171982475,11.2231302183934,11.8242516237194,11.9618515928995,11.8813264310428,11.8606559291316,11.7400618094703,11.6386118907328
SCO2068,8.44868991880849,8.37648719367704,9.20945336562895,11.5564528334217,10.8523127550894,10.9473122443048,10.9552462774329,11.5097750043269,11.4215973451284
SCO2069,8.6913558021464,8.76560841150843,8.64405655017237,8.48694672417167,8.33091687811462,8.36996079130916,8.29001884693262,8.41691478651951,8.44524481240129
SCO2070,8.10968557961017,8.10328780841202,8.15987133677839,8.47843258056735,7.96193195916648,8.27508984442611,8.38130260215598,8.32543039079367,8.54732300438533
SCO2071,8.25738784269265,8.18046174087053,8.76965421287238,7.97664367429847,7.86349800009514,7.74371242660679,7.4797802640291,7.87583465994037,7.53138146051631
SCO2072,7.65821148275179,7.70274987882829,6.66770293172909,7.43694283593184,7.40844768991849,7.50382573799575,7.38658105322962,6.93598350712884,7.19201877229293
SCO2073,10.8693367928987,10.458748362626,10.5075744318428,10.1144653577235,10.0004695508718,10.0228301411981,9.99498192523338,9.92679015304622,9.76025791542296
SCO2074,10.436595881333,10.3213644320394,10.3220533233967,10.0396045179538,9.78172398446231,9.79477685597814,9.81547224948011,9.77588458345851,9.68231188194265
SCO2075,7.65821148275179,8.29717103246344,8.12412131182919,8.57826784814715,8.85278957160245,8.66967248157886,8.70121018280073,8.27483108825272,8.16378942465166
SCO2076,11.8930065227448,11.8053408284164,11.5088951780817,10.8032790667917,10.729243074692,10.5199092165435,10.5110937384598,10.7623820387104,10.5391049460403
SCO2077,13.5702773873256,14.1086605742094,14.2403524291047,14.7364430391787,14.7991523057052,14.7583504676261,14.8242958286753,14.6245797105786,14.7583504676261
SCO2078,12.9714836799062,13.5581948094232,13.5216004397237,13.8244063351394,13.8165503764941,13.9846261368702,13.9974147349195,13.8624436422123,14.0602737330246
SCO2079,11.814537962319,12.2801585643843,12.2878726700936,12.9444883889696,12.9660046795692,12.9264195502165,12.92190290718,12.8290179500008,12.92190290718
SCO2080,10.3415805943502,9.95015083905544,9.83359291066629,9.86659206904421,9.79279029430106,9.99663040574892,10.0073387968112,9.95015083905544,9.89262713793446
SCO2081,9.34256857250273,8.98552572986983,8.61634462620615,9.08244476648371,8.92349256294565,9.15200309344505,9.1494648745579,9.20294005867028,9.20809884948317
SCO2082,12.6147865159214,12.5354373952678,12.623373480909,12.8435721528494,12.802583678549,12.8191811789596,12.8245831278778,12.8051168665672,12.7829299754188
SCO2083,9.752473570777,9.36632221424582,9.35559580765276,9.38801728534514,9.26574525949424,9.24343847976866,9.24238020351296,9.22560913401999,9.05754052805936
SCO2084,10.9669860298718,10.7395931128543,10.8606559291316,10.7936936160017,10.7592871662279,10.6233226701586,10.5937542150074,10.7309418065384,10.7467942115343
SCO2085,10.3660793158462,10.0557343368489,10.1580486011716,9.65364127220304,9.62449086490779,9.52279946101973,9.469867891837,9.54946381949977,9.37503943134693
SCO2086,11.1235466473958,10.6588065312407,10.7270695580237,10.4519551673715,10.3274278920347,10.3410863514399,10.2552909018571,10.350693679114,10.1823943534045
SCO2087,11.890053118986,11.5088951780817,11.6557791510041,11.2702304264499,11.2864935890643,11.2258768699474,11.072653688009,11.0808175276083,10.924565106702
