"gene","ds1_PM","ds1_MM","ds1_BN","ds1_SN","ds1_PMN","ds2_PM","ds2_MM","ds2_BN","ds2_SN","ds2_PMN","ds1_cluster","ds2_cluster","ds1_var","ds2_var","ds1_median","ds2_median"
"ENSG00000103426",-1.2309196166,-0.9026443981,-0.0817013357,1.4314339981,0.7838313523,-1.5496207108,-0.5899896881,0.0312384039,0.9380056457,1.1703663493,"ds1_2","ds2_2",4.9436253252,54.7846198323,4.4810638913,88.7250650477
"ENSG00000103496",-1.1242215583,-0.9970966393,-0.1971834806,1.0717355858,1.2467660923,-0.5158649502,-1.0019611718,-0.0545808617,-0.329759373,1.9021663568,"ds1_2","ds2_2",69.0951141949,34.6631974559,61.376120266,34.5186470078
"ENSG00000103653",-1.0530647313,-0.8287985229,-0.432056668,0.7444299546,1.5694899676,-1.0912512117,-0.8560729876,-0.4217242052,0.9697413398,1.3993070647,"ds1_2","ds2_2",83.9838103498,27.9849667534,75.5420641804,79.0401850246
"ENSG00000104142",-1.1720456805,-1.1375636212,0.6418101586,1.3484676719,0.3193314713,-1.115667302,-0.5124018231,-0.2083501576,1.857119425,-0.0207001423,"ds1_2","ds2_2",17.4327840416,16.0450997398,32.292570107,55.5651922521
"ENSG00000104164",-1.020870705,-0.4197616533,-0.741135719,0.4380881161,1.7436799611,-1.5711633002,-0.0498259344,-0.0267871347,0.0588188321,1.5889575371,"ds1_2","ds2_2",75.8311650766,40.2428447528,81.526452732,0.9829430471
"ENSG00000104388",-1.3380071568,-0.6194925093,-0.2583377471,0.7178803964,1.4979570168,-0.814290663,0.1015008432,0.1221154212,-1.142937461,1.7336118595,"ds1_2","ds2_2",77.0164787511,6.8516912402,77.6235906331,77.7970511709
"ENSG00000104763",-1.3578890618,-0.7201692939,-0.1649303892,0.903787923,1.3392008218,-1.8274929969,-0.1760910828,0.2332997003,0.9479081623,0.8223762171,"ds1_2","ds2_2",92.6857473258,67.5917895345,94.3625325239,81.5553628216
"ENSG00000104805",-1.3487972081,-0.8150342487,-0.0685913355,1.0164498512,1.2159729411,-1.7386806736,-0.4522088877,0.9709243595,0.8169185553,0.4030466465,"ds1_2","ds2_2",35.4726799653,33.4489736918,75.2818733738,80.3700491472
"ENSG00000104853",-1.4408149162,-0.5277992147,-0.1815020896,0.6870906651,1.4630255554,-0.8003709516,1.4009588796,-1.4319680423,0.4328894203,0.3984906939,"ds1_2","ds2_2",23.1569817866,31.0783463429,37.9300375831,0.5203816132
"ENSG00000104880",-1.2544371014,-1.1053186215,0.4420172563,0.6669628822,1.2507755844,0.4031646857,-1.7231588863,-0.3639897332,0.4433742186,1.2406097151,"ds1_2","ds2_2",38.7684301821,19.2830297774,45.1864700781,51.9514310494
"ENSG00000104894",-1.4960405883,-0.4997140989,-0.2221410732,1.0685070637,1.1493886967,-0.4890485753,-0.5003226692,-0.8438891003,1.9456924053,-0.1124320605,"ds1_2","ds2_2",79.1847354727,32.0323793004,85.7184157271,32.2347499277
"ENSG00000105063",-0.1198240418,-1.5384326078,-0.4541350379,0.754924075,1.3574676124,-0.6094034362,-1.3429885187,-0.3318457809,0.9118834976,1.3723542382,"ds1_2","ds2_2",29.2570106967,53.8884070541,64.7875108413,58.9476727378
"ENSG00000105287",-1.0993565431,-0.8109265739,-0.3695521439,0.6935881069,1.586247154,-1.2209415919,-1.0701117213,0.1790838981,0.8302812678,1.2816881473,"ds1_2","ds2_2",71.3501011853,76.3226366002,49.5808037005,40.5030355594
"ENSG00000105329",-1.7932951436,-0.4065394254,0.7798574418,0.7451529869,0.6748241402,-1.8937902963,0.5363413841,0.8329172827,-0.1215168832,0.6460485126,"ds1_2","ds2_2",63.9780283319,74.0676496097,72.5643249494,39.7513732293
"ENSG00000105339",-0.9054739037,-0.7825808916,-0.5250626974,0.4573096403,1.7558078524,-1.8327808641,0.4433540164,-0.0232720738,1.1785521765,0.234146745,"ds1_2","ds2_2",95.4611159295,48.2220294883,92.6568372362,48.7424111015
"ENSG00000105355",-0.3931895365,-1.0401330605,-0.7200938104,0.3961242642,1.7572921432,-0.6822492426,-0.3125366617,-1.2313204294,0.6424513701,1.5836549635,"ds1_2","ds2_2",52.9054640069,13.6166522116,57.5021682567,93.3506793871
"ENSG00000105501",-1.81638288,-0.1907335227,0.3728445851,1.1253068721,0.5089649454,-1.7252816986,-0.3636481644,0.1793644432,1.0885201825,0.8210452373,"ds1_2","ds2_2",72.1595836947,93.7554206418,77.7392309916,48.8291413703
"ENSG00000105514",-1.4283165118,-0.7839300032,0.0798238797,0.8854065991,1.2470160362,-1.6597752994,-0.1311091873,-0.2468344988,0.8056932025,1.232025783,"ds1_2","ds2_2",77.1321191096,38.8262503614,79.849667534,74.5591211333
"ENSG00000105835",-0.8197936082,-0.8177670633,-0.7540979777,0.8563325181,1.535326131,-0.6944630268,-0.9145900909,-0.8218887879,1.0557749662,1.3751669394,"ds1_2","ds2_2",99.7108991038,99.7398091934,96.2995085285,54.6689794738
"ENSG00000105887",-1.4480472157,-0.6179800142,0.0706664295,0.4850724327,1.5102883678,-1.8543032377,-0.072744694,0.2028584084,0.9818892154,0.7423003078,"ds1_2","ds2_2",76.0913558832,42.8736629084,87.250650477,89.0430760335
"ENSG00000106348",-1.1268766065,-0.8898185757,-0.3237180518,0.9524779029,1.3879353312,0.0082580322,-1.5180440085,-0.6095301131,1.2573913132,0.8619247762,"ds1_2","ds2_2",87.1350101185,29.5461115929,82.3070251518,75.1084128361
"ENSG00000106636",-1.4572758914,-0.6169564711,0.4107289872,0.1449505344,1.5185528409,-1.2861172588,-0.5243226142,-0.5198920692,0.9584331139,1.3718988284,"ds1_2","ds2_2",46.2272333044,40.156114484,51.3443191674,59.9306157849
"ENSG00000107099",-1.1795746036,-0.7983256371,-0.3260290844,0.8272033654,1.4767259597,-1.7159738996,-0.4613486624,0.3231750982,1.0250977979,0.8290496658,"ds1_2","ds2_2",90.1416594391,20.9309048858,89.6501879156,96.2416883492
